,title,year,genres,keywords
0,#살아있다,2020,스릴러,좀비    탈출
1,007 노 타임 투 다이,2020,액션,007    첩보원    스파이    본드걸
2,광주비디오 – 사라진 4시간,2020,다큐멘터리,5 18민주화운동    역사    광주
3,국제수사,2020,액션,형사    여행    필리핀
4,그레텔과 헨젤,2020,공포,동화원작    남매    인육
5,나쁜 녀석들 : 포에버,2020,액션,형사    마약    버디무비
6,다만 악에서 구하소서,2020,액션,청부살인업자    복수
7,닥터 두리틀,2020,코미디,초능력    동물
8,딥워터,2020,액션,바다    스쿠버    탈출    자매
9,반도,2020,액션,좀비    군인    탈출
10,버즈 오브 프레이  Birds of Prey,2020,액션,DC코믹스    고담시    할리 퀸    광대
11,소리꾼,2020,드라마,판소리    조선시대    음악
12,수퍼 소닉,2020,애니메이션,고슴도치
13,"시, 나리오 ",2020,드라마,영화감독
14,시크릿 가든,2020,드라마,고아    대저택    소녀    가족
15,"아무튼, 아담 ",2020,드라마,세일즈맨
16,악은 없다,2019,드라마,황금곰상    어린이    성장통    트레이너    분노조절장애
17,언더워터,2020,스릴러,심해    바다    괴물    바다괴물
18,온워드 – 단 하루의 기적,2020,판타지,마법    형제
19,올드 가드,2020,액션,여전사    초능력자    비밀조직    넷플릭스
20,익스트랙션,2020,액션,인진구출    납치    용병부대
21,인베이젼,2020,SF,외계인    지구침공    우주선
22,인비저블맨,2020,공포,소시오패스    유산    투명인간
23,지저귀는 새는 날지 않는다,2020,애니메이션,동성애    경호원
24,카오산 탱고,2020,드라마,여행    방콕
25,클로젯,2020,스릴러,부녀지간    새집    벽장    실종    초자연현상
26,테넷,2020,액션,시간이동
27,파리의 인어,2020,드라마,인어
28,포스 오브 네이쳐,2020,액션,재난    허리케인    폭풍
29,프로젝트 파워,2020,액션,비밀실험    넷플릭스    납치    마약    초능력
30,프리즈너,2020,액션,교도소    복수    격투기
31,프리즌 이스케이프,2020,스릴러,인권운동가    감옥    탈옥
32,호텔 레이크,2020,공포,호텔
33,1917,2019,전쟁액션,전쟁    1차세계대전    군인
34,21 브릿지 – 테러 셧다운,2019,액션,형사    제한시간    부패경찰
35,6 언더그라운드,2019,액션,비밀조직    넷플릭스
36,82년생 김지영,2019,드라마,일상    부부
37,FYRE – 꿈의 축제에서 악몽의 사기극으로,2019,다큐멘터리,넷플릭스
38,가장 보통의 연애,2019,드라마,사랑    연애
39,강철비2 – 정상회담,2019,드라마,대통령    북한    잠수함
40,겨울왕국 2,2019,애니메이션,자매    겨울    공주    마법
41,결백,2019,드라마,법정    변호사    치매
42,결혼 이야기,2019,코미디,결혼    부부
43,교회오빠,2019,다큐멘터리,종교    죽음    부부
44,귀신의 향기,2019,공포,무당    귀신
45,극장판 미니특공대 – 공룡왕 디노,2019,애니메이션,공룡
46,극한직업,2018,코미디,치킨집    잠복근무    형사
47,글래스,2019,공포,다중인격    초능력    초능력자    소시오패스    정신과의사
48,기방도령,2019,코미디,기생    조선시대    남창
49,기생충,2019,드라마,저택    사기꾼    가족    백수    아카데미 작품상    황금종려상    전미비평가협회 최우수작품상
50,나랏말싸미,2019,드라마,임금    조선시대    한글    세종대왕    문자    언어    훈민정음
51,나를 찾아줘,2019,스릴러,유괴    어머니    실종
52,나의 노래는 멀리멀리,2019,다큐멘터리,기타리스트    음악
53,나이브스 아웃,2019,스릴러,탐정
54,남매의 여름밤,2019,드라마,가족    남매
55,남산의 부장들,2019,드라마,대통령    박정희    김재규    중앙정보부장    경호실장    정치
56,너와 파도를 탈 수 있다면,2019,애니메이션,소방관
57,다크 워터스,2019,드라마,실화    환경    듀폰    유해물질    변호사
58,더 킹 – 헨리 5세,2019,드라마,넷플릭스    왕자
59,두 교황,2019,드라마,종교    카톨릭    교회    교황
60,드래곤 길들이기 3,2019,애니메이션,드래곤 용     우정
61,라이온 킹,2019,드라마,사자    동물    가족    권력
62,레이니 데이 인 뉴욕,2019,드라마,뉴욕    센트럴 파크
63,로망,2019,드라마,노인    치매    부부    기억
64,머더 미스터리,2019,액션,경찰    미용사    누명    넷플릭스
65,머메이드 다운,2019,공포,인어    어부    비밀실험
66,머시블랙 – 저주 받은 아이,2019,공포,악령
67,미녀 삼총사 3,2019,액션,첩보원    전력    EMP    삼총사
68,미드웨이,2019,전쟁액션,전투기    항공모함    공중전    2차세계대전    전쟁
69,미스터 주: 사라진,2019,코미디,초능력    경호원
70,반교 – 디텐션,2019,공포,고등학교    귀신
71,밤쉘 – 세상을 바꾼 폭탄선언,2019,드라마,정치    선거    앵커    미디어    방송사    권력
72,배심원들,2019,드라마,법정    재판    국민참여재판    판사    배심원
73,백두산,2019,액션,백두산    화산폭발    재난영화    북한
74,버드 박스,2018,SF,넷플릭스
75,부다페스트 스토리,2019,스릴러,사기꾼
76,분노의 질주: 홉스&쇼,2019,액션,앙숙    스핀오프    자동차    오토바이
77,불량한 가족,2019,코미디,가족
78,블랙머니,2019,드라마,검사    자본    경제    금융    은행    금융감독원
79,블랙아웃 – 인베이젼 어스,2019,SF,통신    전기    재난    특수부대
80,뽀로로 극장판 보물섬 대모험,2019,애니메이션,보물찾기    보물섬
81,사라진 시간,2019,스릴러,교사    형사
82,사바하,2019,스릴러,사이비종교    목사
83,사자,2019,공포,이종격투기    구마사제    악령    구마의식    엑소시즘
84,세레니티,2019,스틸러,바다    낚시    참치    게임
85,소년시절의 너,2019,드라마,성장통    고등학생
86,스타워즈 에피소드 9 – 라이즈 오브 스카이워커,2019,SF,우주전쟁    우주선    외계인    여전사
87,스파이 지니어스,2019,애니메이션,스파이    첩보원    비둘기
88,스파이더맨-파 프롬 홈,2019,액션,슈퍼히어로    마블코믹스    거미    두건
89,시너님스,2019,드라마,황금곰상
90,시동,2019,코미디,주방장    중국음식점
91,시크릿 옵세션,2019,스릴러,기억상실    넷플릭스
92,"신비아파트 극장판 하늘도깨비 대 요르문간드, 2019",2019,애니메이션,도깨비    퇴마사
93,신의 한 수 – 귀수편,2019,드라마,도박    바둑    복수
94,아더후드,2019,코미디,넷플릭스    어머니    가족    모자지간
95,아디오스,2019,액션,마약
96,아이리시맨,2019,드라마,마피아    이민자    넷플릭스
97,아이즈 온 미 – 더 무비,2019,다큐멘터리,가수    걸그룹    아이즈원
98,악인전,2019,액션,형사    연쇄살인마    조폭
99,안녕 베일리,2019,드라마,동물 개     우정    환생
100,알라딘,2019,액션,마법    거인    램프    공주    좀도둑
101,야구소녀,2019,드라마,스포츠    야구    투수    고등학생    열정
102,어린 의뢰인,2019,드라마,변호사    실화    남매
103,어벤져스-엔드게임,2019,SF,마블코믹스    돌연변이    슈퍼히어로
104,어서오시게스트하우스,2019,드라마,서핑    열정
